id,name,parent_id
801,Softball,45
802,Swimming,45
803,Synchronized Swimming,45
804,Table Tennis,45
805,Taekwondo,45
806,Tennis,45
807,Track and Field,45
808,Trampolining,45
809,Triathlon,45
810,Volleyball,45
811,Water Polo,45
812,Weightlifting,45
813,Wrestling,45
814,Alpine Skiing,46
815,Biathlon,46
816,Bobsleigh,46
817,Cross Country Skiing,46
818,Curling,46
819,Figure Skating,46
820,Freestyle Skiing,46
821,Ice Hockey,46
822,Luge,46
823,Nordic Combined,46
824,Short Track Speed Skating,46
825,Skeleton,46
826,Ski Jumping,46
827,Snowboarding,46
828,Speed Skating,46
829,Archery,47
830,Badminton,47
831,Baseball,47
832,Basketball,47
833,Beach Volleyball,47
834,Boxing,47
835,Canoeing,47
836,Cycling,47
837,Diving,47
838,Equestrianism,47
839,Fencing,47
840,Football,47
841,Gymnastics,47
842,Handball,47
843,Hockey,47
844,Judo,47
845,Modern Pentathlon,47
846,Rhythmic Gymnastics,47
847,Rowing,47
848,Sailing,47
849,Shooting,47
850,Softball,47
851,Swimming,47
852,Synchronized Swimming,47
853,Table Tennis,47
854,Taekwondo,47
855,Tennis,47
856,Track and Field,47
857,Trampolining,47
858,Triathlon,47
858,Volleyball,47
860,Water Polo,47
861,Weightlifting,47
862,Wrestling,47
863,Alpine Skiing,48
864,Biathlon,48
865,Bobsleigh,48
866,Cross Country Skiing,48
867,Curling,48
868,Figure Skating,48
869,Freestyle Skiing,48
870,Ice Hockey,48
872,Luge,48
872,Nordic Combined,48
873,Short Track Speed Skating,48
874,Skeleton,48
875,Ski Jumping,48
876,Snowboarding,48
877,Speed Skating,48
878,Archery,49
879,Badminton,49
880,Basketball,49
881,Beach Volleyball,49
882,Boxing,49
883,Canoeing,49
884,Cycling,49
885,Diving,49
886,Equestrianism,49
887,Fencing,49
888,Football,49
889,Gymnastics,49
890,Handball,49
891,Hockey,49
892,Judo,49
893,Modern Pentathlon,49
894,Rhythmic Gymnastics,49
895,Rowing,49
896,Sailing,49
897,Shooting,49
898,Swimming,49
899,Synchronized Swimming,49
900,Table Tennis,49
901,Taekwondo,49
902,Tennis,49
903,Track and Field,49
904,Trampolining,49
905,Triathlon,49
906,Volleyball,49
907,Water Polo,49
908,Weightlifting,49
909,Wrestling,49
910,Alpine Skiing,50
911,Biathlon,50
912,Bobsleigh,50
913,Cross Country Skiing,50
914,Curling,50
915,Figure Skating,50
916,Freestyle Skiing,50
917,Ice Hockey,50
918,Luge,50
919,Nordic Combined,50
920,Short Track Speed Skating,50
921,Skeleton,50
922,Ski Jumping,50
923,Snowboarding,50
924,Speed Skating,50
925,Archery,51
926,Badminton,51
927,Basketball,51
928,Beach Volleyball,51
929,Boxing,51
930,Canoeing,51
931,Cycling,51
932,Diving,51
933,Equestrianism,51
934,Fencing,51
935,Football,51
936,Golf,51
937,Gymnastics,51
938,Handball,51
939,Hockey,51
940,Judo,51
941,Modern Pentathlon,51
942,Rhythmic Gymnastics,51
943,Rowing,51
944,Rugby Sevens,51
945,Sailing,51
946,Shooting,51
947,Swimming,51
948,Synchronized Swimming,51
949,Table Tennis,51
950,Taekwondo,51
951,Tennis,51
952,Track and Field,51
953,Trampolining,51
954,Triathlon,51
955,Volleyball,51
956,Water Polo,51
957,Weightlifting,51
958,Wrestling,51
959,Alpine Skiing,52
960,Biathlon,52
961,Bobsleigh,52
962,Cross Country Skiing,52
963,Curling,52
964,Figure Skating,52
965,Freestyle Skiing,52
966,Ice Hockey,52
967,Luge,52
968,Nordic Combined,52
969,Short Track Speed Skating,52
970,Skeleton,52
971,Ski Jumping,52
972,Snowboarding,52
973,Speed Skating,52
974,Cycling Men's 100 kilometres,53
975,"Cycling Men's Road Race, Individual",53
976,Cycling Men's Sprint,53
977,Cycling Men's 333 metres Time Trial,53
978,"Cycling Men's 10,000 metres",53
979,Cycling Men's 12-Hours Race,53
980,"Fencing Men's Sabre, Individual",54
981,"Fencing Men's Foil, Individual",54
982,"Fencing Men's Foil, Masters, Individual",54
983,Gymnastics Men's Horizontal Bar,55
984,"Gymnastics Men's Horizontal Bar, Teams",55
985,Gymnastics Men's Horse Vault,55
986,Gymnastics Men's Parallel Bars,55
987,"Gymnastics Men's Parallel Bars, Teams",55
988,Gymnastics Men's Pommelled Horse,55
989,Gymnastics Men's Rings,55
990,Gymnastics Men's Rope Climbing,55
991,"Shooting Men's Muzzle-Loading Pistol, 25 metres",56
992,"Shooting Men's Military Rifle, 200 metres",56
993,"Shooting Men's Free Rifle, Three Positions, 300 metres",56
994,"Shooting Men's Military Pistol, 25 metres",56
995,"Shooting Men's Free Pistol, 30 metres",56
996,Swimming Men's 100 metres Freestyle,57
997,"Swimming Men's 1,200 metres Freestyle",57
998,Swimming Men's 100 metres Freestyle For Sailors,57
999,Swimming Men's 500 metres Freestyle,57
1000,Tennis Men's Singles,58
1001,Tennis Men's Doubles,58
1002,Track and Field Men's 100 metres,59
1003,Track and Field Men's 400 metres,59
1004,Track and Field Men's High Jump,59
1005,Track and Field Men's Long Jump,59
1006,Track and Field Men's Triple Jump,59
1007,Track and Field Men's 110 metres Hurdles,59
1008,Track and Field Men's 800 metres,59
1009,"Track and Field Men's 1,500 metres",59
1010,Track and Field Men's Shot Put,59
1011,Track and Field Men's Discus Throw,59
1012,Track and Field Men's Pole Vault,59
1013,Track and Field Men's Marathon,59
1014,"Weightlifting Men's Unlimited, One Hand",60
1015,"Weightlifting Men's Unlimited, Two Hands",60
1016,"Wrestling Men's Unlimited Class, Greco-Roman",61
1017,Archery Men's Sur La Perche a La Herse,62
1018,Archery Men's Sur La Perche a La Pyramide,62
1019,"Archery Men's Au Cordon Dore, 50 metres",62
1020,Archery Men's Championnat Du Monde,62
1021,"Archery Men's Au Chapelet, 50 metres",62
1022,"Archery Men's Au Chapelet, 33 metres",62
1023,"Archery Men's Au Cordon Dore, 33 metres",62
1024,Basque Pelota Men's Two-Man Teams With Cesta,63
1025,Cricket Men's Cricket,64
1026,"Croquet Mixed Singles, One Ball",65
1027,Croquet Mixed Doubles,65
1028,"Croquet Mixed Singles, Two Balls",65
1029,Cycling Men's 25 kilometres,66
1030,Cycling Men's Points Race,66
1031,Cycling Men's Sprint,66
1032,Equestrianism Mixed Four-In-Hand Competition,67
1033,Equestrianism Mixed Hacks And Hunter Combined,67
1034,Equestrianism Mixed High Jump,67
1035,"Equestrianism Mixed Jumping, Individual",67
1036,Equestrianism Mixed Long Jump,67
1037,"Fencing Men's epee, Individual",68
1038,"Fencing Men's epee, Masters and Amateurs, Individual",68
1039,"Fencing Men's epee, Masters, Individual",68
1040,"Fencing Men's Foil, Individual",68
1041,"Fencing Men's Foil, Masters, Individual",68
1042,"Fencing Men's Sabre, Individual",68
1043,"Fencing Men's Sabre, Masters, Individual",68
1044,Football Men's Football,69
1045,Golf Women's Individual,70
1046,Golf Men's Individual,70
1047,Gymnastics Men's Individual All-Around,71
1048,Polo Men's Polo,72
1049,Rowing Men's Coxed Eights,73
1050,Rowing Men's Coxed Fours,73
1051,Rowing Men's Coxed Pairs,73
1052,Rowing Men's Single Sculls,73
1053,Rugby Men's Rugby,74
1054,Sailing Mixed 0.5-1 Ton,75
1055,Sailing Mixed 10-20 Ton,75
1056,Sailing Mixed 1-2 Ton,75
1057,Sailing Mixed 20+ Ton,75
1058,Sailing Mixed 2-3 Ton,75
1059,Sailing Mixed 3-10 Ton,75
1060,Sailing Mixed Open,75
1061,"Shooting Men's Free Pistol, 50 metres",76
1062,"Shooting Men's Free Pistol, 50 metres, Team",76
1063,"Shooting Men's Free Rifle, Kneeling, 300 metres",76
1064,"Shooting Men's Free Rifle, Prone, 300 metres",76
1065,"Shooting Men's Free Rifle, Standing, 300 metres",76
1066,"Shooting Men's Free Rifle, Three Positions, 300 metres",76
1067,Shooting Men's Trap,76
1068,"Swimming Men's 1,000 metres Freestyle",77
1069,Swimming Men's 200 metres Backstroke,77
1070,Swimming Men's 200 metres Freestyle,77
1071,Swimming Men's 200 metres Obstacle Course,77
1072,Swimming Men's 200 metres Team Swimming,77
1073,"Swimming Men's 4,000 metres Freestyle",77
1074,Swimming Men's Underwater Swimming,77
1075,Tennis Men's Doubles,78
1076,Tennis Men's Singles,78
1077,Tennis Mixed Doubles,78
1078,Tennis Women's Singles,78
1079,"Track and Field Men's 1,500 metres",79
1080,Track and Field Men's 100 metres,79
1081,Track and Field Men's 110 metres Hurdles,79
1082,"Track and Field Men's 2,500 metres Steeplechase",79
1083,Track and Field Men's 200 metres,79
1084,Track and Field Men's 200 metres Hurdles,79
1085,"Track and Field Men's 4,000 metres Steeplechase",79
1086,Track and Field Men's 400 metres,79
1087,Track and Field Men's 400 metres Hurdles,79
1088,"Track and Field Men's 5,000 metres, Team",79
1089,Track and Field Men's 60 metres,79
1090,Track and Field Men's 800 metres,79
1091,Track and Field Men's Discus Throw,79
1092,Track and Field Men's Hammer Throw,79
1093,Track and Field Men's High Jump,79
1094,Track and Field Men's Long Jump,79
1095,Track and Field Men's Marathon,79
